,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating
8264,8264,a812,b733,Grand Theft Auto: San Andreas,Action,Rockstar Games,4.4,Grand Theft Auto: San Andreas,Games,Rockstar Games,none
8265,8265,a2572,b733,Grand Theft Auto: Vice City,Arcade,Rockstar Games,4.2,Grand Theft Auto: San Andreas,Games,Rockstar Games,none
8266,8266,a798,b733,Grand Theft Auto III,Action,Rockstar Games,3.9,Grand Theft Auto: San Andreas,Games,Rockstar Games,none
8295,8295,a2602,b742,SAMURAI vs ZOMBIES DEFENSE 2,Action,Glu,4.5,Contract Killer Zombies 2,Entertainment,Glu Games Inc,4.38223
8296,8296,a2603,b742,CONTRACT KILLER: ZOMBIES (NR),Action,Glu,4.4,Contract Killer Zombies 2,Entertainment,Glu Games Inc,4.38223
8297,8297,a573,b742,CONTRACT KILLER: SNIPER,Action,Glu,4.2,Contract Killer Zombies 2,Entertainment,Glu Games Inc,4.38223
8299,8299,a2529,b742,CONTRACT KILLER 2,Action,Glu,4.3,Contract Killer Zombies 2,Entertainment,Glu Games Inc,4.38223
8300,8300,a2597,b743,Empire Z: Endless War,Strategy,Ember Entertainment,4.2,World War Z,Adventure,Paramount Digital Entertainment,3.95854
8309,8309,a2834,b744,Hard Time (Prison Sim),Adventure,MDickie,4.2,Hard Time (Prison Sim),Adventure,MDickie,3.75
8312,8312,a284,b747,Agent Alice,Puzzle,Wooga,4.3,Agent Alice,Puzzle,wooga,4.61033
8313,8313,a960,b748,Arrow Ambush,Strategy,Zoom Inc,4.7,Arrow Ambush,Entertainment,Zoom Inc,3.85714
8336,8336,a1689,b753,Temple Run: Oz,Arcade,Disney,4.3,Temple Run: Oz,Entertainment,Disney,4.22785
8366,8366,a2506,b758,Princess memory game for kids,Board,Owlet games for kids,3.8,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8371,8371,a482,b758,Fishing for kids and babies,Educational,Babies and Kids Educational Games,3.9,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8396,8396,a1100,b758,Funny Cars for Kids,Educational,Hogsmith Games,4.4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8399,8399,a1114,b758,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8403,8403,a1129,b758,Kids doodle games for toddlers,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8406,8406,a1133,b758,Coloring book for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.2,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8407,8407,a1135,b758,Dino Puzzle Games for Kids,Puzzle,Tiltan Games,4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8414,8414,a3258,b758,Animals Farm For Kids,Educational,Kids Games Projects,4.2,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8415,8415,a3260,b758,Trip to the zoo for kids,Educational,Kids Games Projects,4.4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8439,8439,a3583,b758,Colors Matching Games for Kids,Educational,Eggroll Games,4.3,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8440,8440,a3584,b758,Shapes Match for Kids,Educational,Eggroll Games,5,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8442,8442,a3591,b758,Coloring games for kids animal,Casual,2bros - games for kids,4.3,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8445,8445,a3621,b758,Birthday party: Games for kids,Educational,Preschool & Kindergarten Learning Kids Games,4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8447,8447,a3625,b758,Baby puzzles & games for kids,Educational,Bimi Boo Kids - Games for boys and girls LLC,4.6,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8455,8455,a1736,b758,Box Island - Kids Coding Game!,Educational,Radiant Games,4.4,My Dolphin Show: Pet animal game for girls &amp; kids,Family,SPIL GAMES,4.55556
8464,8464,a998,b759,School of Dragons,Role Playing,"Knowledge Adventure, Inc.",4,School of Dragons: How to Train Your Dragon,Adventure,Knowledge Adventure,4.22945
8465,8465,a636,b761,FRONTLINE COMMANDO: WW2,Action,Glu,4.2,Frontline Commando 2,Entertainment,Glu Games Inc,4.42042
8466,8466,a631,b761,FRONTLINE COMMANDO: D-DAY,Action,Glu,4.5,Frontline Commando 2,Entertainment,Glu Games Inc,4.42042
8467,8467,a2544,b761,FRONTLINE COMMANDO,Action,Glu,4.4,Frontline Commando 2,Entertainment,Glu Games Inc,4.42042
8468,8468,a111,b762,Tap Titans,Role Playing,Game Hive Corporation,4.7,Tap Titans,Adventure,Game Hive Corp.,4.7709
8469,8469,a119,b762,Tap Titans 2,Role Playing,Game Hive Corporation,4.8,Tap Titans,Adventure,Game Hive Corp.,4.7709
8472,8472,a218,b764,Hidden Object Mystery Guardian,Adventure,Big Bear Entertainment,4,Hidden City: Mystery of Shadows,Adventure,G5 Entertainment,4.28238
8475,8475,a2835,b764,Hidden City:Mystery of Shadows,Adventure,G5 Entertainment,4.3,Hidden City: Mystery of Shadows,Adventure,G5 Entertainment,4.28238
8523,8523,a464,b769,STARDOM: HOLLYWOOD,Adventure,Glu,4.2,Stardom: Hollywood,Entertainment,Glu Games Inc,4.63138
8525,8525,a1197,b770,The Room Two,Puzzle,Fireproof Games,4.9,The Room Pocket,Games,Fireproof Games,4.62472
8526,8526,a226,b770,The Room,Puzzle,Fireproof Games,4.8,The Room Pocket,Games,Fireproof Games,4.62472
8529,8529,a453,b775,Pocket Mortys,Simulation,[adult swim] games,4.5,Rick and Morty: Pocket Mortys,Entertainment,[adult swim],4.70076
8530,8530,a812,b776,Grand Theft Auto: San Andreas,Action,Rockstar Games,4.4,Grand Theft Auto III,Games,Rockstar Games,none
8531,8531,a2572,b776,Grand Theft Auto: Vice City,Arcade,Rockstar Games,4.2,Grand Theft Auto III,Games,Rockstar Games,none
8532,8532,a798,b776,Grand Theft Auto III,Action,Rockstar Games,3.9,Grand Theft Auto III,Games,Rockstar Games,none
8533,8533,a944,b778,Brave Frontier,Role Playing,gumi Inc.,4.4,Brave Frontier,Adventure,gumi Inc.,4.60093
8534,8534,a2233,b779,Best Fiends - Puzzle Adventure,Casual,Seriously Digital Entertainment Ltd.,4.6,Best Fiends Forever,Action,Seriously,4.78845
8535,8535,a2485,b780,Froggy Jump,Arcade,Invictus Games Ltd.,4.3,Froggy Jump,Arcade,Invictus,3.875
8545,8545,a1689,b788,Temple Run: Oz,Arcade,Disney,4.3,Temple Run: Brave,Entertainment,Disney,4.14791
8555,8555,a2574,b792,BLOOD & GLORY,Action,Glu,4.5,Blood &amp; Glory 2: Legend,Entertainment,Glu Games Inc,4.51424
8557,8557,a491,b793,MARVEL Avengers Academy,Adventure,TinyCo,4.1,MARVEL Avengers Academy,Simulation,"TinyCo, Inc.",4.22727
8559,8559,a1243,b794,Super Stickman Golf 2,Sports,Noodlecake Studios Inc,4.2,Draw A Stickman: Episode 2,Entertainment,"Hitcents.com, Inc.",3.46369
8564,8564,a768,b797,Modern War by GREE,Action,"Funzio Games, Inc",4.1,Modern Girl by Crowdstar,Role Playing,Crowdstar Inc,4.1346
8568,8568,a3565,b798,The LEGO \u00ae Movie Video Game,Adventure,Warner Bros. International Enterprises,4.1,LEGO Star Wars: The Force Awakens,Adventure,Warner Bros.,3.87826
8571,8571,a2060,b799,The Sims 3,Simulation,ELECTRONIC ARTS,2.9,The Sims 3,Entertainment,Electronic Arts,2.12473
8573,8573,a2614,b800,Assassin's Creed Pirates,Action,Ubisoft Entertainment,4.4,Assassin's Creed Pirates,Action,Ubisoft,4.38969
8574,8574,a1370,b801,The Silent Age,Adventure,House on Fire,4.3,The Silent Age,Puzzle,House on Fire,4.64614
8578,8578,a1202,b803,The Secret Society\u00ae,Adventure,G5 Entertainment,4.3,The Secret Society - Hidden Mystery,Adventure,G5 Entertainment,4.28137
8579,8579,a218,b803,Hidden Object Mystery Guardian,Adventure,Big Bear Entertainment,4,The Secret Society - Hidden Mystery,Adventure,G5 Entertainment,4.28137
8581,8581,a295,b803,Hidden Objects: Secret House,Puzzle,Big Bear Entertainment,4,The Secret Society - Hidden Mystery,Adventure,G5 Entertainment,4.28137
8583,8583,a2497,b805,NCIS: Hidden Crimes,Adventure,Ubisoft Entertainment,4.5,CSI: Hidden Crimes,Puzzle,Ubisoft,4.10447
8584,8584,a1382,b805,CSI: Hidden Crimes,Puzzle,Ubisoft Entertainment,4.2,CSI: Hidden Crimes,Puzzle,Ubisoft,4.10447
8588,8588,a2535,b806,N.O.V.A. 3 - Near Orbit...,Action,Gameloft,4.2,N.O.V.A. 3: Freedom Edition - Near Orbit Vanguard Alliance game,Action,Gameloft,4.69439
8590,8590,a2332,b809,Covet Fashion - Dress Up Game,Casual,Crowdstar Inc,4.1,"Fashion Star Boutique - Design, Style, Dress",Entertainment,XMG Studio Inc.,4.0155
8592,8592,a2344,b809,Fashion Star - Model Salon,Casual,Beauty Inc,3.8,"Fashion Star Boutique - Design, Style, Dress",Entertainment,XMG Studio Inc.,4.0155
8594,8594,a1712,b810,The Trail,Simulation,Kongregate,4.4,The Trail,Adventure,Kongregate,4.05691
8599,8599,a2251,b812,Restaurant Story 2,Casual,Storm8 Studios,3.9,Zoo Story 2 - Best Pet and Animal Game with Friends!,Simulation,Storm8 Studios,4.33333
8622,8622,a550,b813,Rayman Adventures,Adventure,Ubisoft Entertainment,4.5,Rayman Adventures,Adventure,Ubisoft,9831 Ratings
8623,8623,a632,b815,Blitz Brigade - Online FPS fun,Action,Gameloft,4.3,Blitz Brigade - Multiplayer shooting action!,Entertainment,Gameloft,3.69892
8625,8625,a2603,b817,CONTRACT KILLER: ZOMBIES (NR),Action,Glu,4.4,Contract Killer: Sniper,Entertainment,Glu Games Inc,4.17645
8626,8626,a573,b817,CONTRACT KILLER: SNIPER,Action,Glu,4.2,Contract Killer: Sniper,Entertainment,Glu Games Inc,4.17645
8627,8627,a2529,b817,CONTRACT KILLER 2,Action,Glu,4.3,Contract Killer: Sniper,Entertainment,Glu Games Inc,4.17645
8640,8640,a1728,b820,Escape game : Limited Time,Adventure,Gameday Inc.,4,Escape game : Doors&amp;Rooms,Adventure,gameday Inc.,4.4036
8643,8643,a1874,b820,Escape game : Doors&Rooms,Puzzle,Gameday Inc.,4.4,Escape game : Doors&amp;Rooms,Adventure,gameday Inc.,4.4036
8645,8645,a2606,b821,Ninja Fishing,Adventure,"Gamenauts, Inc.",4.3,Ninja Fishing,Adventure,Gamenauts,4.49153
8646,8646,a2603,b823,CONTRACT KILLER: ZOMBIES (NR),Action,Glu,4.4,Contract Killer 2,Entertainment,Glu Games Inc,4.27077
8647,8647,a573,b823,CONTRACT KILLER: SNIPER,Action,Glu,4.2,Contract Killer 2,Entertainment,Glu Games Inc,4.27077
8648,8648,a2529,b823,CONTRACT KILLER 2,Action,Glu,4.3,Contract Killer 2,Entertainment,Glu Games Inc,4.27077
8654,8654,a3708,b827,Minecraft: Story Mode,Adventure,Telltale Games,4.3,Minecraft: Story Mode,Entertainment,Telltale Inc,4.40975
8689,8689,a659,b832,Gangstar Vegas,Action,Gameloft,4.4,Gangstar Vegas,Action,Gameloft,4.49333
8690,8690,a636,b833,FRONTLINE COMMANDO: WW2,Action,Glu,4.2,Frontline Commando: D-Day,Action,Glu Games Inc,25110 Ratings
8691,8691,a2544,b833,FRONTLINE COMMANDO,Action,Glu,4.4,Frontline Commando: D-Day,Action,Glu Games Inc,25110 Ratings
8692,8692,a631,b833,FRONTLINE COMMANDO: D-DAY,Action,Glu,4.5,Frontline Commando: D-Day,Action,Glu Games Inc,25110 Ratings
8694,8694,a677,b838,Modern Combat 5 eSports FPS,Action,Gameloft,4.2,Modern Combat 5 : The Multiplayer eSports Shooter,Action,Gameloft,4.36953
8695,8695,a764,b838,Modern Combat 4: Zero Hour,Action,Gameloft,4.4,Modern Combat 5 : The Multiplayer eSports Shooter,Action,Gameloft,4.36953
8699,8699,a116,b840,Battle Camp - Monster Catching,Role Playing,WRKSHP,4.1,Battle Camp - Collect &amp; Evolve Your Monsters,Adventure,WRKSHP,4.51724
8701,8701,a2146,b841,Littlest Pet Shop,Casual,Gameloft,4.2,Littlest Pet Shop,Adventure,Gameloft,4.53158
8702,8702,a578,b843,DINO HUNTER: DEADLY SHORES,Action,Glu,4.3,Dino Hunter: Deadly Shores,Entertainment,Glu Games Inc,4.49333
8713,8713,a645,b846,DEAD TRIGGER 2,Action,MADFINGER Games,4.5,DEAD TRIGGER 2,a.s.,"MADFINGER Games, a.s.",4.63177
8714,8714,a2605,b846,DEAD TRIGGER,Action,MADFINGER Games,4.6,DEAD TRIGGER 2,a.s.,"MADFINGER Games, a.s.",4.63177
8715,8715,a2612,b847,Six-Guns: Gang Showdown,Action,Gameloft,4.4,Six-Guns: Gang Showdown,Entertainment,Gameloft,4.39198
8722,8722,a636,b851,FRONTLINE COMMANDO: WW2,Action,Glu,4.2,Frontline Commando,Entertainment,Glu Games Inc,4.28533
8723,8723,a2544,b851,FRONTLINE COMMANDO,Action,Glu,4.4,Frontline Commando,Entertainment,Glu Games Inc,4.28533
8724,8724,a631,b851,FRONTLINE COMMANDO: D-DAY,Action,Glu,4.5,Frontline Commando,Entertainment,Glu Games Inc,4.28533
8725,8725,a812,b853,Grand Theft Auto: San Andreas,Action,Rockstar Games,4.4,Grand Theft Auto: iFruit,Games,Rockstar Games,1.93657
8726,8726,a2572,b853,Grand Theft Auto: Vice City,Arcade,Rockstar Games,4.2,Grand Theft Auto: iFruit,Games,Rockstar Games,1.93657
8727,8727,a798,b853,Grand Theft Auto III,Action,Rockstar Games,3.9,Grand Theft Auto: iFruit,Games,Rockstar Games,1.93657
8728,8728,a1324,b854,Angry Birds POP Bubble Shooter,Casual,Rovio Entertainment Ltd.,4.5,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8729,8729,a1679,b854,Angry Birds Rio,Arcade,Rovio Entertainment Ltd.,4.4,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8730,8730,a1682,b854,Angry Birds,Arcade,Rovio Entertainment Ltd.,4.4,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8731,8731,a1576,b854,Angry Birds Go!,Racing,Rovio Entertainment Ltd.,4.2,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8732,8732,a1577,b854,Angry Birds 2,Casual,Rovio Entertainment Ltd.,4.5,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8733,8733,a2348,b854,Angry Birds Seasons,Arcade,Rovio Entertainment Ltd.,4.3,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8734,8734,a2226,b854,Angry Birds Fight! RPG Puzzle,Puzzle,Rovio Entertainment Ltd.,4.3,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8735,8735,a1731,b854,Angry Birds Star Wars HD,Arcade,Rovio Entertainment Ltd.,4.2,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8736,8736,a1609,b854,Angry Birds Friends,Arcade,Rovio Entertainment Ltd.,4.2,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8737,8737,a2412,b854,Angry Birds Space,Arcade,Rovio Entertainment Ltd.,4.4,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8738,8738,a2143,b854,Angry Birds Star Wars II Free,Casual,Rovio Entertainment Ltd.,4.3,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8739,8739,a1618,b854,Angry Birds Epic RPG,Role Playing,Rovio Entertainment Ltd.,4.5,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8740,8740,a1018,b854,Angry Birds Star Wars,Arcade,Rovio Entertainment Ltd.,4.3,Angry Birds Epic RPG,Adventure,Rovio Entertainment Ltd,4.69513
8741,8741,a2574,b855,BLOOD & GLORY,Action,Glu,4.5,Blood &amp; Glory,Entertainment,Glu Games Inc,4.85611
8742,8742,a2529,b856,CONTRACT KILLER 2,Action,Glu,4.3,Contract Killer: Zombies,Entertainment,Glu Games Inc,4.07707
8743,8743,a2603,b856,CONTRACT KILLER: ZOMBIES (NR),Action,Glu,4.4,Contract Killer: Zombies,Entertainment,Glu Games Inc,4.07707
8744,8744,a573,b856,CONTRACT KILLER: SNIPER,Action,Glu,4.2,Contract Killer: Zombies,Entertainment,Glu Games Inc,4.07707
8745,8745,a536,b857,Family Guy The Quest for Stuff,Adventure,TinyCo,4,Family Guy: The Quest for Stuff,Adventure,"TinyCo, Inc.",3.69444
8753,8753,a2233,b859,Best Fiends - Puzzle Adventure,Casual,Seriously Digital Entertainment Ltd.,4.6,Best Fiends,Puzzle,Seriously,4.81351
8765,8765,a1299,b860,Jurassic World\u2122: The Game,Simulation,Ludia Inc.,4.1,Jurassic World: The Game,Entertainment,Ludia,4.35745
8777,8777,a94,b861,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8785,8785,a2455,b861,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8786,8786,a413,b861,RC Truck Racing Simulator 3D,Racing,i6 Games,3.7,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8787,8787,a420,b861,3D Monster Truck Parking Game,Racing,Play With Games,3.9,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8790,8790,a2506,b861,Princess memory game for kids,Board,Owlet games for kids,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8794,8794,a588,b861,Hearts Card Game FREE,Card,Breakout Games,4.3,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8797,8797,a2823,b861,SUBURBIA City Building Game,Board,Bezier Games,4.2,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8798,8798,a2976,b861,Jet Ski Driving Simulator 3D 2,Racing,parking games,4.5,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8800,8800,a3006,b861,Tetris Block Puzzle Brick Game,Casual,Baca Baca Games,4.1,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8804,8804,a1114,b861,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8807,8807,a3211,b861,Color Block Puzzle Brick Game,Casual,Baca Baca Games,null,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8820,8820,a1706,b861,Shooting Simulator 3D,Simulation,VAPP - Games and Simulators,4,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8827,8827,a1947,b861,Motorbike Driving Simulator 3D,Racing,Pudlus Games,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8828,8828,a1981,b861,Block Craft 3D: Building Game,Simulation,Fun Games For Free,4.5,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8829,8829,a1983,b861,Flight Simulator 3D Seaplane 2,Simulation,i6 Games,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8830,8830,a1985,b861,Flight Simulator: Airplane 3D,Simulation,i6 Games,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8833,8833,a2022,b861,Sea Plane: Flight Simulator 3D,Simulation,i6 Games,3.8,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8834,8834,a2033,b861,Flight Simulator: Fly Plane 3D,Simulation,i6 Games,3.9,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8835,8835,a2038,b861,Flight Pilot Simulator 3D Free,Simulation,Fun Games For Free,4.6,Block Craft 3D: Building Simulator Game For Free,Adventure,Fun Games For Free,4.76628
8836,8836,a2227,b862,Club Penguin Island,Casual,Disney,2.4,Club Penguin,Family,Disney,3.70242
8842,8842,a2197,b865,Batman Arkham Origins,Arcade,Warner Bros. International Enterprises,4.2,Batman: Arkham Origins,Entertainment,Warner Bros.,4.43154
8843,8843,a2062,b867,Doodle Jump,Arcade,Lima Sky LLC,4.3,Doodle Jump,Entertainment,Lima Sky,4.875
8844,8844,a2472,b867,Doodle Jump DC Heroes - Batman,Action,Lima Sky LLC,4.2,Doodle Jump,Entertainment,Lima Sky,4.875
8845,8845,a645,b868,DEAD TRIGGER 2,Action,MADFINGER Games,4.5,DEAD TRIGGER,a.s.,"MADFINGER Games, a.s.",4.55727
8846,8846,a2605,b868,DEAD TRIGGER,Action,MADFINGER Games,4.6,DEAD TRIGGER,a.s.,"MADFINGER Games, a.s.",4.55727
8848,8848,a2298,b869,Fashion Story: Young Love,Casual,Storm8 Studios,4.1,Fashion Story,Simulation,Storm8 Studios,4.10064
8849,8849,a2299,b869,Fashion Story: Spring Runway,Casual,Storm8 Studios,4.3,Fashion Story,Simulation,Storm8 Studios,4.10064
8850,8850,a2300,b869,Fashion Story: Daring Red,Casual,Storm8 Studios,4.1,Fashion Story,Simulation,Storm8 Studios,4.10064
8859,8859,a646,b871,DEER HUNTER 2017,Action,Glu,4.3,Deer Hunter Reloaded,Sports,Glu Games Inc,4.15092
8860,8860,a572,b871,DEER HUNTER CLASSIC,Action,Glu,4.4,Deer Hunter Reloaded,Sports,Glu Games Inc,4.15092
8862,8862,a545,b872,The Walking Dead: Season Two,Adventure,Telltale Games,4.4,Walking Dead: The Game,Adventure,Telltale Inc,3.72056
8863,8863,a549,b872,The Walking Dead: Season One,Adventure,Telltale Games,4.5,Walking Dead: The Game,Adventure,Telltale Inc,3.72056
8872,8872,a1299,b872,Jurassic World\u2122: The Game,Simulation,Ludia Inc.,4.1,Walking Dead: The Game,Adventure,Telltale Inc,3.72056
8886,8886,a3565,b874,The LEGO \u00ae Movie Video Game,Adventure,Warner Bros. International Enterprises,4.1,LEGO Star Wars: The Complete Saga,Adventure,Warner Bros.,4.13089
8898,8898,a2801,b876,Can You Steal It: Secret Thief,Adventure,HI STUDIO LIMITED,4.2,100 Floors - Can You Escape?,Entertainment,Tobi Apps Limited,2.53333
8900,8900,a2529,b879,CONTRACT KILLER 2,Action,Glu,4.3,Contract Killer,Entertainment,Glu Games Inc,4.12124
8901,8901,a2603,b879,CONTRACT KILLER: ZOMBIES (NR),Action,Glu,4.4,Contract Killer,Entertainment,Glu Games Inc,4.12124
8902,8902,a573,b879,CONTRACT KILLER: SNIPER,Action,Glu,4.2,Contract Killer,Entertainment,Glu Games Inc,4.12124
8904,8904,a2202,b880,Restaurant Story: Earth Day,Casual,Storm8 Studios,4.3,Restaurant Story,Simulation,Storm8 Studios,4.12377
8905,8905,a2203,b880,Restaurant Story: Tropic Bliss,Casual,Storm8 Studios,4.3,Restaurant Story,Simulation,Storm8 Studios,4.12377
8906,8906,a2204,b880,Restaurant Story: Summer Camp,Casual,Storm8 Studios,4.1,Restaurant Story,Simulation,Storm8 Studios,4.12377
8907,8907,a2205,b880,Restaurant Story: Bagel Cafe,Casual,Storm8 Studios,4.1,Restaurant Story,Simulation,Storm8 Studios,4.12377
8911,8911,a2251,b880,Restaurant Story 2,Casual,Storm8 Studios,3.9,Restaurant Story,Simulation,Storm8 Studios,4.12377
8912,8912,a844,b881,MARVEL Contest of Champions,Action,Kabam,4.3,MARVEL Contest of Champions,Action,Kabam,4.67241
8914,8914,a523,b884,KIM KARDASHIAN: HOLLYWOOD,Adventure,Glu,4.3,Kim Kardashian: Hollywood,Entertainment,Glu Games Inc,4.64878
8916,8916,a451,b885,Minecraft: Pocket Edition,Arcade,Mojang,4.5,Minecraft: Pocket Edition,Simulation,Mojang,4.40848
8917,8917,a221,b886,Criminal Case,Adventure,Pretty Simple,4.5,Criminal Case,Adventure,Pretty Simple,4.50516
8930,8930,a448,b889,The Simpsons\u2122: Tapped Out,Casual,ELECTRONIC ARTS,4.3,The Simpsons: Tapped Out,Simulation,Electronic Arts,4.38
8938,8938,a2060,b891,The Sims 3,Simulation,ELECTRONIC ARTS,2.9,The Sims FreePlay,Simulation,Electronic Arts,4.22563
8939,8939,a1296,b891,The Sims\u2122 FreePlay,Simulation,ELECTRONIC ARTS,4.3,The Sims FreePlay,Simulation,Electronic Arts,4.22563
8941,8941,a1589,b892,Temple Run 2,Action,Imangi Studios,4.3,Temple Run 2,Adventure,"Imangi Studios, LLC",4.04082
8943,8943,a1662,b892,Temple Run,Arcade,Imangi Studios,4.3,Temple Run 2,Adventure,"Imangi Studios, LLC",4.04082
8961,8961,a2188,b893,White Tiles 4 : Piano Master,Casual,Brighthouse,4.4,White Tiles 4: Piano Master (All mini games in 1),Music,Brighthouse,4.33507
8986,8986,a835,b894,Call of Mini\u2122 Infinity,Arcade,Triniti Interactive Ltd.,4.1,Call of Mini Zombies,Action,Triniti Interactive Limited,4.57477
8987,8987,a2458,b894,Call of Mini: Sniper,Arcade,Triniti Interactive Ltd.,4,Call of Mini Zombies,Action,Triniti Interactive Limited,4.57477
8989,8989,a1678,b896,Giant Boulder of Death,Arcade,[adult swim] games,4.3,Giant Boulder of Death,Action,[adult swim],4.50877
8995,8995,a1573,b902,The Maze Runner,Action,PIKPOK,4,The Maze Runner ,Action,PikPok,4.50255
9000,9000,a2826,b904,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,GameTime Football with Mike Vick : A Real Quarterback Sports Game,Games,KBJ Games,4.13757
9002,9002,a1364,b904,GameTime Football w/ Mike Vick,Sports,KBJ Games,4,GameTime Football with Mike Vick : A Real Quarterback Sports Game,Games,KBJ Games,4.13757
9003,9003,a1392,b904,Golden Manager - Football Game,Sports,Kerad Games,4.2,GameTime Football with Mike Vick : A Real Quarterback Sports Game,Games,KBJ Games,4.13757
9005,9005,a1687,b905,Sonic The Hedgehog 2,Arcade,SEGA,4.4,Sonic Dash 2: Sonic Boom,Arcade,SEGA,4.48235
9006,9006,a2433,b905,Sonic Dash,Arcade,SEGA,4.4,Sonic Dash 2: Sonic Boom,Arcade,SEGA,4.48235
9011,9011,a280,b907,Asphalt Xtreme: Rally Racing,Racing,Gameloft,4.4,Asphalt Xtreme: Offroad Racing,Racing,Gameloft,4.48592
9015,9015,a2199,b908,Kitchen Scramble: Cooking Game,Simulation,Rockyou Inc.,3.9,Kitchen Scramble: Cooking Game,Arcade,"RockYou, Inc.",3.28571
9020,9020,a1973,b908,Bakery Blitz: Cooking Game,Simulation,Rockyou Inc.,4.1,Kitchen Scramble: Cooking Game,Arcade,"RockYou, Inc.",3.28571
9023,9023,a2090,b910,Pirate Kings,Casual,Jelly Button Games,4.3,Pirate Kings,Adventure,Jelly Button Games Ltd,3.46429
9032,9032,a2455,b911,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Flight Alert : Impossible Landings Flight Simulator by Fun Games For Free,Arcade,Fun Games For Free,4.79976
