"ID","name","category","developer","rating"
"b286","Tiles Puzzle (by FT Apps) - Free Game the Best Fun for Kids Boys and Girls Cool Funny 3D Free Games Addictive Apps Multiplayer Physics Addicting App Arcade Words Adventure Action Top Online Men Women Boy Girl Children Love Family Relax Music","Entertainment","Felipe Tumonis","3.81"
"b287","Six Towers","Puzzle","vadim bashurov","3384 Ratings"
"b288","Slots Deluxe - Free Vegas Casino Slot Machine Games &amp; Slot Tournaments. Huge Jackpot and Big Wins!","Card","kei tajiri","4.3"
"b289","Vegas Party Slots Free 3D Slots with Friends!","Inc","Big Fish Games, Inc","4.21186"
"b290","Blackjack","Casino","Jiabi Miao","4.77789"
"b291","American Scratchers Lottery Scratch Off Tickets","Casino","Tiny Mobile Inc.","3.36449"
"b292","Vegas Slots - Play Las Vegas Casino Slot Machines!","Casino","Phonato Studios","4.79216"
"b293","Skip-Bo - The Classic Family Card Game Now Free!","Card","Magmic Inc.","2.53252"
"b294","Phase 10 Play Your Friends!","Entertainment","Magmic Inc.","none"
"b295","Fantastic 4 In A Row Free","Education","EnsenaSoft","3.75676"
"b296","MONOPOLY HERE &amp; NOW","Family","Hasbro, Inc.","3.96078"
"b297","Move it!","Puzzle","Optime Software LLC","4.23529"
"b298","Hooked on Words","Word","Plasmaworks LLC","4.625"
"b299","Doodle God Free","Board","JoyBits Ltd.","3.69811"
"b300","Four In A Row - Classic Board Games","OutOfTheBit Ltd","OutOfTheBit Ltd","4.08417"
"b301","GameHouse Casino Plus: A FREE Slots Game","Card","Blastworks Limited","4.26316"
"b302","Epic Jackpot Slots Casino: Free Slot Games","Super Lucky Casino Inc.","Super Lucky Casino Inc.","4.83221"
"b303","Heads Up: Hold'em (Free Poker)","Casino","Headlight Software, Inc.","3.28571"
"b304","Triple Double Jackpot Slots Free Slot Games Casino","Entertainment","Rocket Speed, Inc.","4.84327"
"b305","Majong Titan: Mahjong","Games","Kristanix Games","4.65287"
"b306","Attack Balls Bubble Shooter Free","Entertainment","BazilSoft","4.51304"
"b307","Minesweeper Classic free","Board","breadwallet LLC","1.7801"
"b308","Domino! Free - World's Largest Dominoes Community","Board","Flyclops","3.91667"
"b309","Minesweeper Q","Entertainment","Spica","4.64648"
"b310","Slot Machines - 1Up Casino - Best New Free Slots","Card","WinCity","4.50416"
"b311","Perk Scratch &amp; Win!","Card","Jutera","4.32895"
"b312","free Fast Poker Texas Hold 'Em - BA.net","Card","Jaime Garcia Ghirelli","4.13333"
"b313","Boqu Texas Hold'em Poker - Free Live Vegas Casino","Casino","Boqu Co., Ltd.","428 Ratings"
"b314","Coin Dozer: Haunted","Casino","Game Circus LLC","4.4881"
"b315","FaFaFa - Real Casino Slots","Card","International Games System Co., Ltd.","4.5302"
"b316","Heroes Charge","Card","uCool","4.19998"
"b317","Star Wars Battlefront Companion","Entertainment","Electronic Arts","4.5549"
"b318","Gin Rummy","Entertainment","Mahjong","4.64583"
"b319","Shanghai Mahjong Lite","Entertainment","MobileAge","3.65123"
"b320","Mahjong Deluxe Free","Education","EnsenaSoft","4.375"
"b321","SCRABBLE","Board","Electronic Arts","3.88889"
"b322","Governor of Poker 2 - Texas Holdem Poker Offline","Card","Youda Games Holding B.V.","3.93333"
"b323","Coin Dozer: Casino","Casino","Game Circus LLC","4.78571"
"b324","Soda Coin Party: Free Casino Pusher","Entertainment","Mindstorm Studios","4.44604"
"b325","PCH Lotto","Entertainment","Publishers Clearing House","4.21211"
"b326","Boardwalk Bingo: A MONOPOLY Adventure","Entertainment","Shark Party","4.5583"
"b327","Bingo Beach","Family","Ember Entertainment","3.01724"
"b328","Urban Rivals","Role Playing","Boostr","11979 Ratings"
"b329","Black Cards","Word","Brandon Abbott","4.23928"
"b330","Chess Free NO ADS","Board","Christophe Thron","4.76707"
"b331","Tic-Tac-Touch: FS5 (FREE)","Board","FlipSide5, Inc.","3.86591"
"b332","Chess - Play &amp; Learn","Strategy","Chess.com","4.77285"
"b333","Lazors","Puzzle","Pyrosphere, Lda","4.46622"
"b334","Matching With Friends Free","Puzzle","Zynga Inc.","4.12"
"b335","Guess the Code Free","Entertainment","Optime Software LLC","4.5122"
"b336","DoubleX Casino - FREE Slots, BEST Vegas Casino","Card","Ford Wang","4.85411"
"b337","BINGO by Alisa - Play FREE Casino Game Win BIG!!","Casino","Alisa","4.84091"
"b338","Slingo Supreme","Puzzle","funkitron","1.66038"
"b339","Slots Iceberg: Free Casino","Card","Ford Wang","3.78261"
"b340","Mirrorball Slots: Free Vegas Casino Games","Plumbee","Plumbee","4.28571"
"b341","Spades Free","Entertainment","Optime Software LLC","3.79585"
"b342","Hearts+","Card","A Star Software LLC","4.84058"
"b343","Charades! Guess Words with Kids","Word","FatChicken Studios","4.4"
"b344","Guess Who Is The Character! HD Guessing Game for Kids Free","Board","JanduSoft S.L.","3.91935"
"b345","Apple Shooting","Entertainment","i-Life Mobitech Pvt Ltd","3.62136"
"b346","PewDiePie's Tuber Simulator","Board","Outerminds Inc.","4.83784"
"b347","Glow Puzzle Free","Board","Nexx Studio","4.19097"
"b348","Sudoku Free!","Board","Optime Software LLC","4.39839"
"b349","Slots of Gold","Casino","Avalinx LLC","4.54545"
"b350","Speed the Card Game (Spit Slam)","Card","JimmyInteractive","4.5111"
"b351","GameTwist Free Slot Games &amp; Slot Machines","Casino","Funstage Spielewebseiten Betriebsges.m.b.H.","1186 Ratings"
"b352","#1 Reel Deal Slots Club","Simulation","Phantom EFX","4.15808"
"b353","Legend of the Cryptids","Card","Mynet Inc.","10589 Ratings"
"b354","Cleopatra's Pyramid","Entertainment","GameDuell GmbH","4.29677"
"b355","Euchre 3D","Entertainment","A Star Software LLC","4.79641"
