"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a2539","ZOMBIES ATE MY FRIENDS","Adventure","Glu","4.4","b676","Zombies Ate My Friends","Entertainment","Glu Games Inc","4.53308"
"a811","GUN BROS 2","Action","Glu","4.5","b678","Gun Bros 2","Adventure","Glu Games Inc","4.48039"
"a2469","Nimble Quest","Arcade","NimbleBit LLC","4.1","b679","Nimble Quest","Action","NimbleBit LLC","4.461"
"a1625","Random Heroes","Arcade","Noodlecake Studios Inc","3.9","b684","Random Heroes","Adventure","Ravenous Games Inc.","4.63636"
"a2572","Grand Theft Auto: Vice City","Arcade","Rockstar Games","4.2","b715","Grand Theft Auto: Vice City","Games","Rockstar Games","none"
"a1201","Monument Valley","Puzzle","ustwo games","4.7","b723","Monument Valley","Puzzle","ustwo Games Ltd","4.57258"
"a812","Grand Theft Auto: San Andreas","Action","Rockstar Games","4.4","b733","Grand Theft Auto: San Andreas","Games","Rockstar Games","none"
"a2834","Hard Time (Prison Sim)","Adventure","MDickie","4.2","b744","Hard Time (Prison Sim)","Adventure","MDickie","3.75"
"a284","Agent Alice","Puzzle","Wooga","4.3","b747","Agent Alice","Puzzle","wooga","4.61033"
"a960","Arrow Ambush","Strategy","Zoom Inc","4.7","b748","Arrow Ambush","Entertainment","Zoom Inc","3.85714"
"a1689","Temple Run: Oz","Arcade","Disney","4.3","b753","Temple Run: Oz","Entertainment","Disney","4.22785"
"a111","Tap Titans","Role Playing","Game Hive Corporation","4.7","b762","Tap Titans","Adventure","Game Hive Corp.","4.7709"
"a464","STARDOM: HOLLYWOOD","Adventure","Glu","4.2","b769","Stardom: Hollywood","Entertainment","Glu Games Inc","4.63138"
"a798","Grand Theft Auto III","Action","Rockstar Games","3.9","b776","Grand Theft Auto III","Games","Rockstar Games","none"
"a944","Brave Frontier","Role Playing","gumi Inc.","4.4","b778","Brave Frontier","Adventure","gumi Inc.","4.60093"
"a2485","Froggy Jump","Arcade","Invictus Games Ltd.","4.3","b780","Froggy Jump","Arcade","Invictus","3.875"
"a491","MARVEL Avengers Academy","Adventure","TinyCo","4.1","b793","MARVEL Avengers Academy","Simulation","TinyCo, Inc.","4.22727"
"a2060","The Sims 3","Simulation","ELECTRONIC ARTS","2.9","b799","The Sims 3","Entertainment","Electronic Arts","2.12473"
"a2614","Assassin's Creed Pirates","Action","Ubisoft Entertainment","4.4","b800","Assassin's Creed Pirates","Action","Ubisoft","4.38969"
"a1370","The Silent Age","Adventure","House on Fire","4.3","b801","The Silent Age","Puzzle","House on Fire","4.64614"
"a1382","CSI: Hidden Crimes","Puzzle","Ubisoft Entertainment","4.2","b805","CSI: Hidden Crimes","Puzzle","Ubisoft","4.10447"
"a1712","The Trail","Simulation","Kongregate","4.4","b810","The Trail","Adventure","Kongregate","4.05691"
"a550","Rayman Adventures","Adventure","Ubisoft Entertainment","4.5","b813","Rayman Adventures","Adventure","Ubisoft","9831 Ratings"
"a573","CONTRACT KILLER: SNIPER","Action","Glu","4.2","b817","Contract Killer: Sniper","Entertainment","Glu Games Inc","4.17645"
"a2606","Ninja Fishing","Adventure","Gamenauts, Inc.","4.3","b821","Ninja Fishing","Adventure","Gamenauts","4.49153"
"a2529","CONTRACT KILLER 2","Action","Glu","4.3","b823","Contract Killer 2","Entertainment","Glu Games Inc","4.27077"
"a3708","Minecraft: Story Mode","Adventure","Telltale Games","4.3","b827","Minecraft: Story Mode","Entertainment","Telltale Inc","4.40975"
"a659","Gangstar Vegas","Action","Gameloft","4.4","b832","Gangstar Vegas","Action","Gameloft","4.49333"
"a631","FRONTLINE COMMANDO: D-DAY","Action","Glu","4.5","b833","Frontline Commando: D-Day","Action","Glu Games Inc","25110 Ratings"
"a2146","Littlest Pet Shop","Casual","Gameloft","4.2","b841","Littlest Pet Shop","Adventure","Gameloft","4.53158"
"a578","DINO HUNTER: DEADLY SHORES","Action","Glu","4.3","b843","Dino Hunter: Deadly Shores","Entertainment","Glu Games Inc","4.49333"
"a645","DEAD TRIGGER 2","Action","MADFINGER Games","4.5","b846","DEAD TRIGGER 2","a.s.","MADFINGER Games, a.s.","4.63177"
"a2612","Six-Guns: Gang Showdown","Action","Gameloft","4.4","b847","Six-Guns: Gang Showdown","Entertainment","Gameloft","4.39198"
"a1618","Angry Birds Epic RPG","Role Playing","Rovio Entertainment Ltd.","4.5","b854","Angry Birds Epic RPG","Adventure","Rovio Entertainment Ltd","4.69513"
"a2062","Doodle Jump","Arcade","Lima Sky LLC","4.3","b867","Doodle Jump","Entertainment","Lima Sky","4.875"
"a2605","DEAD TRIGGER","Action","MADFINGER Games","4.6","b868","DEAD TRIGGER","a.s.","MADFINGER Games, a.s.","4.55727"
"a844","MARVEL Contest of Champions","Action","Kabam","4.3","b881","MARVEL Contest of Champions","Action","Kabam","4.67241"
"a523","KIM KARDASHIAN: HOLLYWOOD","Adventure","Glu","4.3","b884","Kim Kardashian: Hollywood","Entertainment","Glu Games Inc","4.64878"
"a451","Minecraft: Pocket Edition","Arcade","Mojang","4.5","b885","Minecraft: Pocket Edition","Simulation","Mojang","4.40848"
"a221","Criminal Case","Adventure","Pretty Simple","4.5","b886","Criminal Case","Adventure","Pretty Simple","4.50516"
"a1589","Temple Run 2","Action","Imangi Studios","4.3","b892","Temple Run 2","Adventure","Imangi Studios, LLC","4.04082"
"a1678","Giant Boulder of Death","Arcade","[adult swim] games","4.3","b896","Giant Boulder of Death","Action","[adult swim]","4.50877"
"a2199","Kitchen Scramble: Cooking Game","Simulation","Rockyou Inc.","3.9","b908","Kitchen Scramble: Cooking Game","Arcade","RockYou, Inc.","3.28571"
"a2090","Pirate Kings","Casual","Jelly Button Games","4.3","b910","Pirate Kings","Adventure","Jelly Button Games Ltd","3.46429"
"a2625","Amazing Ninja","Action","Ketchapp","3.5","b916","Amazing Ninja","Entertainment","Ketchapp","4.28576"
"a2839","Shopkins World!","Arcade","Mighty Kingdom","4.2","b917","Shopkins World!","Entertainment","Mighty Kingdom","4.12821"
"a1655","Agent Dash","Arcade","Full Fat","4.2","b920","Agent Dash","Action","Full Fat","4.29267"
"a2348","Angry Birds Seasons","Arcade","Rovio Entertainment Ltd.","4.3","b925","Angry Birds Seasons","Action","Rovio Entertainment Ltd","3.88909"
